歌曲名,专辑名,艺人名,歌曲译名
Johnny It's the Last Time,Johnny It's the Last Time,Raveena,
You're Light,Colors,Harrison,
アクア,都,,Aqua / 涟漪
Love Letter,Right Here,Thomas White;Timbah,
Herman's Habit,La La Land (Original Motion Picture Soundtrack),Justin Hurwitz,
穏やかな日々,阴阳师 游戏原声音乐集,梅林茂,
淡雪,阴阳师 游戏原声音乐集,梅林茂,
Return to Innocence,The Cross of Changes,Enigma,
故郷の原風景,Prime Selection,宗次郎,
Conquest Of Paradise,"Portraits (So Long Ago, So Clear)",Vangelis,
For The Love Of A Princess,Braveheart (Original Motion Picture Soundtrack),James Horner,
TVエンディングテーマ,NHKスペシャル「日本人はるかな旅」オリジナル・サウンドトラック,吉田潔,遥远的旅途 (片尾)
There You'll Be,Pearl Harbor (Music from the Motion Picture),Faith Hill,
Scarborough Fair,La Luna,Sarah Brightman,斯卡布罗市集
My Heart Will Go On,Titanic (Music From The Motion Picture),Celine Dion,我心永恒
Down by the Salley Gardens,Song of the Irish Whistle,Joanie Madden,漫步莎莉花园 (爱尔兰画眉)
Nightingale,Tribute,Yanni,
We All Die But Not Tonight,A Romantic Dream,Blurry Lights,
"Never Alone, Always Lonesome",About Everything And More,Dorena,
Silent Neighbor Acoustic,From The Bottom Of The Heart,池田奨,
Plastic,Mid-City Island,Moses Sumney,
Kenotic,Kenotic,Hammock,
"Yes, I am so Fragile",If you don't understand then I can't explain to you,Pentatonic,
The Truth Is In The Dirt,The Ghost Who Walks,Karen Elson,
ざくろ,promenade,北園みなみ,
Moonchild,Buffalo 66 (Original Motion Picture Soundtrack),Vincent Gallo,
東方萃夢想,東方絲竹夢,平行世界,
June,Horsebeach,Horsebeach,
Crowd,Froth /  Crowd,Boys Age,
蔷薇,NOW CHINESE BEST 2,萧亚轩,
0:00:00,everyday is a symphony,□□□,
Bibo No Aozora/04,Babel (Music from and Inspired By the Motion Picture),坂本龍一;Jaques Morelenbaum,
氧气,颐和园,郝蕾,
Caves,Caves,Haux,
I Love You Mr.Snowball,Diaries,chestnut bakery,
空音,DRAG-ON DRAGOON 3 オリジナル・サウンドトラック,MONACA,
Dream Odyssey,For My Parents,MONO,
River of Crystals,攻殻機動隊 INNOCENCE ORIGINAL SOUNDTRACK,伊藤君子,
snsetblvrd,Jakarta Dubplate # 1,IAMNOBODI,
愛のメロディー (original ver.),愛のメロディー,KOKIA,
Too Deep,Sept. 5th,dvsn,
すべての人へ,FRAGILE~さよなら月の廃墟~ オリジナルサウンドトラックPLUS,斉藤理詠,
柿子 (国语) (Live),Sandy Lam Concert MMXI,林忆莲,
柿子,盖亚,林忆莲,
心乱如麻 (Live),Thank You 演唱会 2013 Live,卫兰,
Space Sonic,ELLEGARDEN BEST 1999-2008,ELLEGARDEN,
酔月,Dear Past,erica,
French Kissing,Sarah Connor,Sarah Connor,
The Last Dance Of The Night,The Last Dance Of The Night,Desired,
淹没,一万小时,宇宙人,Drown in You
第三人称,异常现象,HUSH,
シンコペーション,METAL RESISTANCE 日本盤,BABYMETAL,Syncopation
Vivre Pour Vivre,Francis Lai: The Essential Film Music Collection,Francis Lai,
猫大人息怒,只谈喜爱不谈恋爱 音乐剧原声,小尘埃,
小尘埃 (Live),A Piece of Summer II,陈绮贞,
Everything Always Moving,On: Audio,Au4,
Plastic Love (TARA Bootleg),Plastic Love (TARA Bootleg),Τ Λ Я Λ,
Carl Sagan,Pennied Days,Night Moves,
Nara,Unearthed,E.S. Posthumus,
Love Will Tears Us Apart,I Love New Wave,Various Artists,
Elegia,Live At Bestival 2012,New Order,
柬埔寨丧失,双生光,祁紫檀,Intro
得知平淡珍贵的一天,双生光,祁紫檀,
東方萃夢想,東方小曲集-唯我独尊-,XL project,
銀の絨毯、一雫の花片,Cattleya 幻想写景 -妖-,Foxtail-Grass Studio,
The cello song,The Cello Song,Steven Sharp Nelson,
休み,休み,Vantage,
eureka,eureka,fromadistance,
月の雫 feat.Ф串Ф,Valkyris,RegaSound,
escape,june,chimneycrow,
Put Me Down,Calling Me,Aquilo,
Retrograde,Overgrown,James Blake,
The Greatest,The Greatest,Cat Power,
里の風景,幻想郷英幽伝説FD,趣味工房にんじんわいん,
Awakening,Awakening,Random Forest,
蓮,てんのみかく,中島優美,
You Didn't Need My Love (kuma remix),You Didn't Need My Love (kuma remix),kuma;Anders,
Quiet,Young Mountain,This Will Destroy You,
風笛,Fumiaki miyamoto,宮本文昭,
Hard Time,For Madeleine,Seinabo Sey,
half moon,morceau,延近輝之,
Tweet,State Of Mind,VEE,
Stratus,A Son Of The Sun,Uyama Hiroto,
Jet Lag,"Mind, Body & Soul",Joss Stone,
天际大厦,新世纪平衡,祁紫檀,Skyline building
You Don't Own Me,Brenna Whitaker,brenna whitaker,
Norbu,Himalaya,Bruno Coulais,
Better,Better,EZRA,
黄昏鹿场,脑海群岛,甜梅號,Deerfield at dusk
夢、時々…,V.I.P(Marasy plays Vocaloid Instrumental on Piano),まらしぃ,
"明日ハ晴レカナ,曇リカナ",武満徹ソングブック,武満徹,
The Sailor,One Day I'll Be on Time,The Album Leaf,
右衛門佐のテーマ,映画「大奥～永遠～[右衛門佐・綱吉篇]」オリジナル･サウンドトラック,村松崇継,
yourtouchisthefuel,nowis​(​not​)​thetime,rossylo,
366日 -Piano Version-,「赤い糸」オリジナル・サウンドトラック,菅野祐悟,
Prelude For Time Feelers,Copia,Eluvium,
This Day On Our Side,The Reflection,Sky Architects,
I LOVE YOU 愛してる,I LOVE YOU 愛してる,Future Girlfriend 音楽,
nevrturnaround,Jakarta Dubplate # 1,IAMNOBODI,
Unspoken,History,Elizabeth Naccarato,
Sacrilege,Mosquito,Yeah Yeah Yeahs,
式神の庭 その夜,阴阳师 游戏原声音乐集,梅林茂,
No Sleeep,No Sleeep,Janet Jackson,
Ghost Funktion,Melancholic Road,TLi-synth,
I,Who You Are Is Not Enough,Athletics,
如果有来生 (Live),谭维维演唱会Concert Live,谭维维,
Born To Die,Born to Die,Lana Del Rey,
素敵だね~featured in FINAL FANTASY 10,素敵だね featured in FINAL FANTASY X,RIKKI,
華のワルツ,大奥~第一章~ オリジナルサウンドトラック,石田勝範,
Radio Protector ,One Time for All Time,65daysofstatic,
创圣大天使 (Live),2016超级女声 总决赛第九场,圈住那个9,
Taipei (All at Once),Taipei (All at Once),Kyte,
Liturgy,R​.​I​.​P. Blackedout,Blackedout,
さくらさくら ～ Japanize Dream…,幻想郷に恋したミューズ,K-waves LAB,
原谅我就是这样的女生,原谅我就是这样的女生,戴佩妮,
Touch,Touch,Dabin;Daniela Andrade,
Be Be Your Love,Happenstance,Rachael Yamagata,
Birthday,Piano Stories 4: Freedom,久石譲,生辰
给你看,给你看,佛跳墙,Let You See
给你看 (Live),2016超级女声 总决赛第七场,汪睿,
往日情,李玟 同名专辑,李玟,
月光爱人,卧虎藏龙 电影原声带,李玟,
Di Da Di,Di Da Di 暗示,李玟,
Fallin',Songs in A Minor,Alicia Keys,
Empire State of Mind (Part II) Broken Down,The Element of Freedom,Alicia Keys,
I Need a Doctor,I Need a Doctor (feat. Eminem & Skylar Grey),Eminem;Skylar Grey;Dr. Dre,
Old Melodie,Corso Como: Yin Yang,Sainkho Namtchylak,
Shadow Preachers,Kicker,Zella Day,
セーラーチーム,セーラーチーム,✿ MACROSS 82-99 ✿,
映画「大奥」ﾃｰﾏ,映画「大奥」オリジナル・サウンドトラック,石田勝範,
英格玛 (Live),我是歌手第四季 第十二期: 突围赛,HAYA乐团,
paper plane 纸飞机 2016,The Golden Collection,尚雯婕,
Monday,Islands: Essential Einaudi,Ludovico Einaudi,
Fade to Black,Six Feet Down Under Part II,Metallica,
Fade to Black,Ride the Lightning,Metallica,
Dream On,Aerosmith,Aerosmith,
Shell Suite,Equatorial Ultravox,Chad Valley,
远在眼前的你,敢要敢不要,王心凌,
变成陌生人,爱不爱,王心凌,
True Faith(from Substance),Retro,New Order,
Bird Flu,Kala,M.I.A.,
Elegia(full version),Retro,New Order,
Alone in Kyoto (Air),Alone in Kyoto (Air),Kitchen,
What Do You Mean it's 1985?,What Do You Mean it's 1985?,TRONICBOX;Justin Bieber,
Vision,Spectrum,Shook,
酔花 ,よひむすび,秣本瑳羅,
ハナミズキ,ヒトトウタ,一青窈,
Mirror Balls,ALTER WAR IN TOKYO,菊地成孔,
We Have Met Before,Epilogue,Endless Melancholy,
ヒマワリの教会 -piano solo long ver-,向日葵の教会と長い夏休み サウンドトラックCD,松本文紀,
Young Souls,"Dear Misfortune, Mother of Joy",Broken Back,
Midnight Waltz,Ritual,Adam Hurst,
You Don't Own Me,BBC Radio 1's Live Lounge 2016,Grace,
You Don't Own Me,Stay Awhile-I Only Want to Be with You,Dusty Springfield,
南方仁のテーマ,TBS系 日曜劇場「JIN-仁-」オリジナル・サウンドトラック,髙見優,
Walk on By,Wonderland,Noosa,
金木犀,金木犀,笹川美和,
Breathe Me,Colour the Small One,Sia,
水星 (Young & Fresh mix),水星,tofubeats;仮谷せいら,
Masterpiece,W.E. (Music from the Motion Picture),Madonna,
"He Films the Clouds, Pt. 2",Not for Want of Trying,Maybeshewill,
妖 -あやかし-,ノスタルジア,我々楽,
初恋抄,蝉しぐれ,岩代太郎,
等妳拥有勇气,游乐,柯泯薰,Waiting For Your Courage
ウ"ォカリーズ(ラフマニノフ),Chieko Kinbara presents CLASSIC,金原千恵子;tsunenori a.k.a Marukabis,
Let Her Go,All The Little Lights,Passenger,
Island in the Sun,Weezer (2001 album),Weezer,
比天空还远,榕树下 民谣在路上,曹方,
GLOWED UP,99.90%,Anderson .Paak;Kaytranada,
Flower,UTAU,大貫妙子;坂本龍一,
Cheapest Flight,Cheapest Flight,PREP,
我可以忘记你 (Live),端午金曲捞,张碧晨,
Everytime,Everytime,Britney Spears,
猫咪,芳草莲檬,卡奇社,
涟漪,自在,卡奇社,
City of Stars,La La Land (Original Motion Picture Soundtrack),Ryan Gosling;Emma Stone,繁星之城 (合唱版)
City of Stars (Humming),La La Land (Original Motion Picture Soundtrack),Emma Stone,繁星之城 (石头姐哼唱版)
命运,为你的寂寞唱歌,家家,
Comforting Sounds,Half The World Is Watching Me,Mew,
Love,Lust For Life,Lana Del Rey,爱
星降る森,"a light,a life",池田綾子,
Diamonds,Diamonds,Rihanna,钻石
Stay,Unapologetic,Rihanna;Mikky Ekko,
舍不得是我,RIO,汪睿,
Horsey,A Million Miles Away,✿ MACROSS 82-99 ✿;Sarah Bonito,
人造景,90,吴莫愁;邱比,
motherhood~me & my mom~<Vocal ver.>,東京タワー オカンとボクと、時々、オトン,澤野弘之,
The Fall,Woman,Rhye,
百人想歌  ,悠久の翼,綺羅,
We Choose To Go To The Moon,Khartoum,There's a Light,
女孩与四重奏,女孩与四重奏,马格,Girl & Quartet
R.O.D -READ OR DIE-::R.O.Dのテーマ ~long version~,Selfconsciousness-岩崎琢 劇伴音楽集-,岩崎琢,
I Want Your Love,I Want Your Love,Lady Gaga,
Illest Motherfucker Alive,Watch the Throne,Kanye West;Jay Z,
Into the Fields,Ontario Gothic,Foxes in Fiction,
Don't Call,II,Desire,
early morning,calm down,[.que],
Running,Devotion,Jessie Ware,
A Quiet Place,Mediterraneo,Bruno Bavota,
Tell Me,开始,丁薇,
流浪者,松绑,丁薇,Gypsy
7 Years,Blue Album,Lukas Graham,
The Dreamer,Malibu,Anderson .Paak;Talib Kweli,
Heart Don't Stand a Chance,Malibu,Anderson .Paak,
Genesis of Aquarion,Tokyo Express - Live In Concert,Rasmus Faber,
oblivious,Kalafina LIVE THE BEST 2015 “Red Day” at 日本武道館,Kalafina,
The Girl From Ipanema,Lioness: Hidden Treasures,Amy Winehouse,
Someone in the Crowd,La La Land (Original Motion Picture Soundtrack),Emma Stone;Sonoya Mizuno;Callie Hernandez;Jessica Rothe,
Somebody to Love,Somebody To Love,Leighton Meester,
流星は音もなく,流星の絆,河野伸,
獅子座流星群,流星の絆,河野伸,
Veloma,Viandanze,Fabrizio Paterlini,
Hishiko,Show Us Your Weak Side,Muxu,
もらい泣き     ,かざうた,藤原道山,
邂逅／帰花謡,胎,SAGRAD-サグラド-,
Another Day of Sun,La La Land (Original Motion Picture Soundtrack),Justin Hurwitz,
借个火,3​-​track Demo,Selfkill,
明日、夕暮れまで,ARIA The ORIGINATION ピアノ・コレクションII「ディパルテンツァ-旅立ち-」,妹尾武,
時代を越える想い~Piano Concerto~(Moscow Recording Ver.),犬夜叉 音楽撰集 映画篇,和田薫,穿越时空的思念
文明の道,PRESENTS,羽毛田丈史,
朝の祈り,水の音楽2 ~森のプレリュード,神山純一,
战,还有别的办法吗,范晓萱,
男人,绝世名伶,范晓萱,
消失,国语真经典,范晓萱,
如果你还在就好了,反正我信了,信,Wish you were here
死在旋转公寓,发光曲线,发光曲线,
头发儿 (Produced by Groovemiki),颗粒 - 头发儿 (Produced by Groovemiki),颗粒,
神様のヒマ潰し,ベスト オブ ゴー!ゴー!,Go!Go!7188,
"Caprices, Op. 1: No. 24 in A minor","Paganini: 24 Caprices, Op. 1",Ilya Kaler,
僕らのつづき,meteor,じょん,
丸の内サディスティック (Live),Spa & Treatment,東京事変,
恋の足音,映画「恋空」サウンドトラック,河野伸,
A Brokedown Melody,The Mango Tree,Jack Johnson,
百年孤寂,阿菲正传,王菲,
Run,The Labyrinth Tour: Live From the O2,Leona Lewis,
恋我癖,恋我癖,蔡依林;陈星翰,Ego-holic
行かないで,行かないで,玉置浩二,秋意浓
思ひで（追忆）,ぜいご,鈴木常吉,
Stressed Out,Now That's What I Call Music! 93,Twenty One Pilots,
Cheap Thrills,Bravo Hits Vol. 93,Sia;Sean Paul,
Elgar - Cello Concerto in E minor Op.85 - I. Adagio - Moderato,Jacqueline du Pré: The Complete EMI Recordings,Jacqueline du Pré,
I believe~海の底から~,pearl 〜The Best Collection〜,KOKIA,
さよなら、お月様,月夜の花火,MEMELOME,
"Hungarian Rhapsody No.2 in C sharp minor, S.244",Liszt：The 19 Hungarian Rhapsodies,Roberto Szidon,
Medicine,The Wild Youth,Daughter,
远远的远远 远远,女孩与四重奏,马格,So Far Far Away
Stay Gold,宇多田ヒカルのうた -13組の音楽家による13の解釈について-,大橋トリオ,
竹田の子守唄 ,ニライカナイ,Chouchou,takeda no komoriuta
"Valse Sentimentale, Op.51, No.6: No.6(Tchaikovsky)",Romantic Music for Cello,Nathaniel Rosen,
Moon Rabbit,Moon Rabbit,a_hisa,
李香兰,梦中的你,张学友,
Plum Blossom (2003 Remix),Shanghai Lounge Divas,Ian Widgery;李香兰,梅花
調和 oto~with reflection~,pearl 〜The Best Collection〜,KOKIA,
盛夏的果实 (Live),2016超级女声 总决赛第八场,汪睿,
Self Control,Blonde,Frank Ocean,
Superstar,Yesterday Once More: Greatest Hits 1969-1983,Carpenters,
Rainy Days And Mondays,Yesterday Once More: Greatest Hits 1969-1983,Carpenters,
This Masquerade,Now & Then,Carpenters,
The End of the World,Now & Then,Carpenters,
Jambalaya,40/40,Carpenters,
Yesterday Once More,The Singles: 1969–1973,Carpenters,昨日重现
掩体67年-冥王星的雪,三体OST,王利夫,
Drum'n Bass In Rain(中国版) ,山水恋,孟奇,
金蛇狂舞 (TRAP FLIP),金蛇狂舞 (TRAP FLIP),Howie Lee,
她,她 千鸟,不可撤销乐队,
女孩儿,她 千鸟,不可撤销乐队,
Forever,Nightsky,Tracey Chattaway,
Out of This Place II,"All the Memories, All at Once",Sunlight Ascending,
她她她,她她她,金池;谭维维;魏雪漫,
いのちの名前,リラクシング・ピアノ~宮崎駿コレクション,広橋真紀子,
風のとおり道,和楽器でジブリ!!,AUN Jクラシックオーケストラ,となりのトトロ
東から来た少年,もののけ姫,久石譲,
楼桑村にて~母と子,三国志 第一部 英雄たちの夜明け,横山菁児,
想い出は遠くの日々,秒速5センチメートル オリジナルサウンドトラック,天門,
Sit Down,Personal Stereo,Flunk,
世界同時多発ラブ仮病捏造バラード,藁人形売りの少女,小南泰葉,
跟你住,Girls,孙盛希,
#NAME?,ヨスガノソラ (オリジナルサウンドトラック-New-),Bruno Wen-li,
Opus,BTTB,坂本龍一,
September,Now Thats What I Call 70s,"Earth, Wind & Fire",
Mr. Blue Sky,Mr. Blue Sky - The Very Best Of Electric Light Orchestra,Electric Light Orchestra,
门,木屮山出,Howie Lee,The Gate
折桂令,折桂令,原子邦妮 Astro Bunny,
黄色大门 (Live),Concert YY 黄伟文作品展,容祖儿,
眠,おおかみかくし オリジナルサウンドトラック,尾澤拓実,
向阳花,谢天笑与冷血动物,谢天笑,
竹田の子守唄（京都府民謡）,下北むつの子守歌,mammy Sino,
pale blue trees　,Daydream Garden,tico moon,
カプチーノ,rie tomosaka best+3,ともさかりえ,
水母,现象师,现象师,
エレジー2,LUPIN the Third 峰不二子という女 オリジナルサウンドトラック,菊地成孔,
茎(STEM),蜜月抄,椎名林檎,“Ringo EXPO 08"2008.11.30さいたまスーパーアリーナ
Be Here To Love Me,Feels Like Home,Norah Jones,
Last Flowers,告白 オリジナル・サウンドトラック,Radiohead,
その銃口は、正義を支配する,PSYCHO-PASS サイコパス VOL.2,菅野祐悟,
Young,Vallis Alps,Vallis Alps,
Carnival Town,Feels Like Home,Norah Jones,
What Am I To You,Feels Like Home,Norah Jones,
僕が死のうと思ったのは,SONGBOOK あまのじゃく,中島美嘉,曾经我也想过一了百了
不和リン,剃刀乙女,青叶市子,
赤とんぼ,Prime Selection,宗次郎,
ひとつふたつ,窓の日,矢野絢子,
When I Had The Chance ,Contact,Boney James;LeToya,
崇拜,崇拜,梁静茹,
三年幻想郷,三年幻想郷,神乃木製作所,
Money Can Buy U Luv?,Money Can Buy U Luv?,Su,(淘 宝 野 模）
Flemington,Flemington,Tom Day,
Into Black,Blouse,Blouse,
Wait and See,Wait and See,Monogem,
赤とんぼ,UTAU,坂本龍一;大貫妙子,
Deep into It,Deep Into It,Larry Carlton,
黒猫,a musical biography 2001-2007,小島麻由美,
Somewhere in Time,Somewhere in Time (Original Motion Picture Soundtrack),John Barry,
Hit & Run,Somewhere over My Head,Greyson Chance,
For Mom,Colma,Buckethead,
Represent,Kaleidoscope,DJ OKAWARI;Chieko Kinbara,
Copacabana,夏の惑星,T-SQUARE,
Sweet Rumors,LOVE LETTER,麗美,
Feel Real,Life After Defo,Daniel Woolhouse,
Relief,Music for Tourists,Chris Garneau,
等 (Live),活出生命Live演唱会,张学友,
Last-M,「ラストマネー　愛の値段」 オリジナルサウンドトラック,林ゆうき,
天行く月を　網に刺し,phantasmagoria,Whisper Records,
Free Loop,Daniel Powter,Daniel Powter,
Drops,Drops,FKJ;Tom Bailey,
変わり行く世界のために,燐光とその他 2＋1,茶太,
Little Girl In The World,Songs For EX,林二汶,
我真的受伤了 (Live),活出生命Live演唱会,张学友;王菀之,
Talking To The Moon,It's Better If You Don't Understand,Bruno Mars,
我爱你,潜流,王菲,I Love You
催眠,圆舞曲,许哲珮,
你不是真正的快乐,后青春期的诗,五月天,
Sight,关于莉莉周的一切.Arabesque,小林武史,
扫兴,浮躁,王菲,
The Mother We Share,The Mother We Share,CHVRCHES,
最後まで楽しもう,ROCK THE MIX 2,吾妻光良,
小城大事 (Live),活出生命Live演唱会,张学友,
小城大事,Simply Me,杨千嬅,
Wicked Game,Heart Shaped World,Chris Isaak,
Feedback,The Life of Pablo,Kanye West,
Famous,The Life of Pablo,Kanye West;Rihanna,
刽子手最后一夜,Evil is a point of view,麦浚龙,The Executioner
浮躁,浮躁,王菲,
Shae,Future Blast,Harrison,
Soda City Funk,soda city funk,Tim legend,
无奈的孽缘,Inner live!,邱比,你的一切都是我的风格
湘靈鼓瑟,時代在召喚,假假條,Renaissance Empress 1991
血腥爱情故事,AMIT2,张惠妹,A Bloody Love Story
尘埃,尘埃,王菲,
分裂,浮躁,王菲,
你喜欢不如我喜欢,你王菲所以我王菲,王菲,
November,Departures,Message to Bears,
君ノ記憶,君ノ記憶,mao,
边界1999,快乐无罪,许美静,
暮春秋色,幻听,译;窦唯,
かざむき,Breeze to gale,セブンスヘブンMAXION,
Drop,Bavarian Fruit Bread,Hope Sandoval & The Warm Inventions,
Twenty-Something,Super,Pet Shop Boys,
落叶荒寺,墨海,郑玮莹,
Theme From Lupin 3(Full size version),Lupin the Third: Jazz,大野雄二,
Far from Any Road,Singing Bones,The Handsome Family,
His Smile,LOVE LETTER,麗美,
Blue on Blue,Blue on Blue,Say Lou Lou,
赤道和北极,赤道和北极,卢西,
Flow In The Wind,LOVE LETTER,麗美,
Golden Hour,Songs for Ghosts,Circadian Eyes,
月は幻想のままに,東方華想神月,舞風,
Minamo,Mirror,DJ OKAWARI,
Too Bright,Too Bright,Perfume Genius,
Hotel California (Live),Hell Freezes Over,Eagles,
木蓮のクリーム  ,むらさき。,ともさかりえ,
Forwards,Chapters,Tom Day,
Last Christmas,If You Were There: The Best Of Wham,Wham!,
dark HORSE,Zodiac,The Shanghai Restoration Project,
Never Again(short ver.),「昼顔」～平日午後3時の恋人たち～,青木カレン,
never again,「昼顔」～平日午後3時の恋人たち～,青木カレン,
二十二桥枫别雨,中国风R&B 的墨明棋妙,墨明棋妙,
時さえ忘れて,New York hell sonic ballet,菊地成孔,
Streetcar,Pilgrim's Paradise,Daniel Caesar,
Improvisation on Sonata K. 208 (Pieranunzi)/Sonata K. 208 (Scarlatti),Enrico Pieranunzi Plays Domenico Scarlatti: Sonatas and Improvisations,Enrico Pieranunzi,
万里の長城,「中華一番！」スペシャルTVオンエアーミックス＆オリジナル・サウンドトラック,太田美知彦,
暗くなるまで待って,New York hell sonic ballet,菊地成孔,
La Sola,Fate/stay night (A.OST),川井憲次,
ふたりの気持ち,犬夜叉 音楽篇 参,和田薫,
Walk alone in Christmas,Walk alone in Christmas,梁晓雪,
カノン,12 & 1 SONG,Janis Crunch,
東方萃夢想,ピアノのための東方夜想曲集「Dream」,TAMUSIC,
unjust life,『Angel Beats!』オリジナル・サウンドトラック,ANANT-GARDE EYES,
Natures Law,This New Day,Embrace,
我的父亲母亲 (终曲),直接影响,三宝,
Pink + White,Blonde,Frank Ocean,
Everything at Once,Everything at Once,Travis,
The Skies Will Break,The Heart Speaks in Whispers,Corinne Bailey Rae,
Angel by the Wings,Angel by the Wings,Sia,
Life After Death,Visions,Grimes,
Breathin' (Extended Vocal Mix),Breathin',EDX,
Welcome Home,Ghost,Radical Face,
Celtic Sphere,Celtic Sphere,Margot Reisinger,
Lillies of the valley,Pina,Thomas Hanreich,
喜欢两个人,情歌手,彭佳慧,
TRUE LOVE,FUMIYA FUJII ANNIVERSARY BEST“15/25”,藤井フミヤ,
"waltz, waltz",Fragrance of Notes ,mama! milk,
海上花,海上花 电影原声带,莫文蔚,
Genesis,Visions,Grimes,
Canon Rock,Gypsy Girl_ver.3.0,Aria Asia,
蘇州夜曲,恋文,おおたか静流,
From The Morning,after blue,Wool Strings,
我的海洋,我的海洋,吴金黛,
无力之王,雨昼,逆耳乐队,Low Lord
Lazy Calm,Victorialand,Cocteau Twins,
噢!乖,黑梦,窦唯,"Be Good,Boy"
歩いても 歩いても,映画「歩いても 歩いても」サウンドトラック,GONTITI,步履不停
エアリスのテーマ,Piano Collections FINAL FANTASY VII,本田 聖嗣,
冬至,一朵金花,莫文蔚,Winter Solsitce
気楽なお祭り日和,阴阳师 游戏原声音乐集,梅林茂,
Opera,Little Buddha Vol.3,Various Artists,
Can't Stop Playing (Makes Me High) [Oliver Heldens & Gregor Salto Vocal Mix],Can't Stop Playing,Gregor Salto;Oliver Heldens;Dr. Kucho!;Ane Brun,
杀死那个石家庄人,万能青年旅店 同名专辑,万能青年旅店,
緋色の雪,SNOW PRINT -in the fairy tale-,N-tone,
Rachmaninov - Vocalise,The Complete EMI Recordings,Mstislav Rostropovich,
Adagio,Dreamcatcher,Secret Garden,
给自己的歌,南[下]专线,李宗盛,Jonathan's Song
LEFT-EYE,左目探偵EYE オリジナル・サウンドトラック,林ゆうき,
Waiting Just for You,Golden Key [#2],Isgaard,
Merry Christmas Mr Lawrence (Somewhere Far Away),Wonderland,Faryl Smith,
远走高飞,维京人来了 45首历年主打全记录,林忆莲,
组曲≪水上の音楽≫ 第5曲: Allegro deciso,Handel:Water Music & Fireworks,George Szell,
Old Memory,ヨスガノソラ (オリジナルサウンドトラック-New-),Bruno Wen-li,
诱惑的街,夜太黑,林忆莲,
盛开,盛开,痛仰乐队,
Palace Memories ,Palace Memories,S.E.N.S.,故宫之神思
Paralyse,Paralyse,Polarheart,
Departures~あなたにおくるアイの歌~,Departures～あなたにおくるアイの歌~,EGOIST,
SkTrs,Mhl,Rotting Air,
不擅长的事,不擅长的事,周休八日,
"Violin Concerto In D, Op.61 - 2. Larghetto",Beethoven & Britten Violin Concertos,Janine Jansen,
Ravel:Piano Concerto in G major: 2. Adagio assai,MARTHA ARGERICH The Collection 2 The concerto recordings,Martha Argerich,
微笑的弧度,3颗猫饼干,何真真,Silent Love
Theme of SSS,『Angel Beats!』オリジナル・サウンドトラック,ANANT-GARDE EYES,
雲流れ,pastoral landscape,みかん箱;Foxtail-Grass Studio,
特别的人,危险世界,方大同,
my long forgotten cloistered sleep (unreleased work of Xenosaga),FICTION II,梶浦由記,
夢桜,千年の戀,Jusqu'à Grand-Père,
Palace Memories~Sunset ,Palace Memories,S.E.N.S.,故宫之迟暮
飞雪玉花,天籁秦音 原声配乐大碟,魏小涵,The One Studio
繁华背后,大明宫词 影视音乐原声大碟,林海,
山居岁月,山居岁月,萤火虫,
No Other Way,N.O.W,Snakehips;Sinéad Harnett,
Love Can Fly,T.I.A.,袁娅维,
他人の顔,映画音楽選集(4),武満徹,
第三人称 (Live) ,Everyone's Gonna Miss You,Hush!,The Third Person and I
盛开 (Live) ,改变你的生活,痛仰乐队,
公路之歌,不要停止我的音乐,痛仰乐队,
Dornenweich,Irfind,Dunkelschön,
莫斯科郊外的晚上,歌声放牧,关牧村,
北国之春,歌声放牧,关牧村,
岛上,追月,艾敬,島唄
旅行中忘记,T.I.A.,袁娅维,Lost In Traveling
女孩与四重奏,二十世纪原创经典典藏 龙凤金歌榜,马格,
蓝色,永远有多远 电视连续剧原声大碟,叶蓓,
谁,新世纪爱情宣言,谢雨欣,
小さな恋のうた,Message,Mongol800,小小恋歌
I still believe ~ため息~,I still believe～ため息～,滴草由実,
amenohi,small sketch,mitsuyoshi matsuda,
闇に降る雨,Ringo Expo 08,椎名林檎,
一个人的雨,山居岁月,萤火虫,
Sign of the Snow Crane,Bamboo,松居和,
出嫁,墨海,郑玮莹,
夜未央,电影之歌 多媒体音乐剧原声唱片,袁泉,
里山,PRESENTS Ⅱ,羽毛田丈史,
春告鳥  ,かざうた,藤原道山,
御殿,大奥~第一章~ オリジナルサウンドトラック,石田勝範,
ATARAXIA,The Traces of Mist,Gol Dolan,
The Meeting Place,告白 オリジナル・サウンドトラック,やくしまるえつこ;永井圣一,
Grace ~ Jin-Roh ~ Omega,人狼 / Jin-roh original motion soundtrack,溝口肇,
雨舞,夏天来了,萤火虫,
The Peach Blossom (QRION Remix),The Peach Blossom,狸猫,
大奥メインテーマ,映画 大奥 オリジナル・サウンドトラック,村松崇継,
"Mozart - Concerto for Piano and Orchestra No.23 in A major,K.488 - Adagio",Maurizio Pollini Edition,Maurizio Pollini,
"6 Etudes d'exécution transcendante d'après Paganini, S.140 - 3. La Campanella",Liszt: Favourite Piano Works,Jorge Bolet,
Relief,Destiny,Stillife,
Frosthauch,Destrunken,Neun Welten,
弥勒世果報 - undercooled (instrumental),弥勒世果報 - undercooled,坂本龍一,
The Clouds In Camarillo,Welcome To... Brazzaville Il,Brazzaville,
The Clouds in Camarillo,Acoustics Lounge Vol. 8,Brazzaville;Minerwa,
Head Over Heels,Tears Roll Down (Greatest Hits 82-92),Tears For Fears,
Wuthering Heights  ,Cinemage,坂本龍一,
